# Matter power spectrum P(k) at redshift z=0
# for k=1.04437e-05 to 8.47306 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044373177903e-05       5.719515694589e+01 
       2.330863537068e-05       1.109489934040e+02 
       3.621868663117e-05       1.732506462736e+02 
       4.920853451248e-05       2.329701783071e+02 
       6.231339980672e-05       2.924560965454e+02 
       7.556938842102e-05       3.521596354323e+02 
       8.901381464780e-05       4.122209912868e+02 
       1.026855387201e-04       4.729949388995e+02 
       1.166253229746e-04       5.344552746683e+02 
       1.308762109776e-04       5.970555375630e+02 
       1.454839339779e-04       6.609348948945e+02 
       1.604973489896e-04       7.263862325995e+02 
       1.759689126343e-04       7.935168099411e+02 
       1.919551945090e-04       8.626070362750e+02 
       2.085174331949e-04       9.339585708360e+02 
       2.257221369641e-04       1.007806349990e+03 
       2.436417296000e-04       1.084464312609e+03 
       2.623552393076e-04       1.164220420141e+03 
       2.819490251928e-04       1.247454160615e+03 
       3.025175308975e-04       1.334527666409e+03 
       3.241640483247e-04       1.425843545156e+03 
       3.470014655728e-04       1.521847785653e+03 
       3.711529618447e-04       1.623004183651e+03 
       3.967525979545e-04       1.729825179204e+03 
       4.239457341305e-04       1.842864929492e+03 
       4.528891876214e-04       1.962703304776e+03 
       4.837510224735e-04       2.089951159754e+03 
       5.167098452353e-04       2.225255577770e+03 
       5.519534672995e-04       2.369276885072e+03 
       5.896767928497e-04       2.522687000130e+03 
       6.300788082150e-04       2.686149801852e+03 
       6.733585917181e-04       2.860306647606e+03 
       7.197103392683e-04       3.045744749796e+03 
       7.693175119673e-04       3.242991105778e+03 
       8.223463515743e-04       3.452455753711e+03 
       8.789391602777e-04       3.674435820813e+03 
       9.392078736640e-04       3.909068647001e+03 
       1.003228533781e-03       4.156338400899e+03 
       1.071037259171e-03       4.416018446638e+03 
       1.142628192868e-03       4.687738041149e+03 
       1.217953696304e-03       4.970913733968e+03 
       1.296926784502e-03       5.264833483592e+03 
       1.379425523210e-03       5.568644869733e+03 
       1.465298890741e-03       5.881351978005e+03 
       1.554373487338e-03       6.201986199394e+03 
       1.646460465116e-03       6.529503900015e+03 
       1.741362135232e-03       6.862838166934e+03 
       1.838877851048e-03       7.200964505365e+03 
       1.938808927383e-03       7.542886840506e+03 
       2.040962504488e-03       7.887665189063e+03 
       2.145154381719e-03       8.234448800212e+03 
       2.251210923456e-03       8.582415080459e+03 
       2.358970181254e-03       8.930826378996e+03 
       2.468282389267e-03       9.279050955629e+03 
       2.579009983657e-03       9.626471809663e+03 
       2.691027279241e-03       9.972576390055e+03 
       2.804219914343e-03       1.031688409033e+04 
       2.918484151863e-03       1.065899588328e+04 
       3.033726103536e-03       1.099855077822e+04 
       3.149860926338e-03       1.133523586900e+04 
       3.266812025326e-03       1.166876018230e+04 
       3.384510285802e-03       1.199889621027e+04 
       3.502893349042e-03       1.232545363954e+04 
       3.621904939533e-03       1.264824078401e+04 
       3.741494247176e-03       1.296711448314e+04 
       3.861615364856e-03       1.328193328471e+04 
       3.982226779769e-03       1.359264015168e+04 
       4.103290915627e-03       1.389905893259e+04 
       4.224773722193e-03       1.420122408720e+04 
       4.346644308240e-03       1.449898786719e+04 
       4.468874613990e-03       1.479238914550e+04 
       4.591439119167e-03       1.508132976354e+04 
       4.714314583002e-03       1.536577145292e+04 
       4.837479812791e-03       1.564572269043e+04 
       4.960915457882e-03       1.592116074608e+04 
       5.084603826267e-03       1.619212961672e+04 
       5.208528721218e-03       1.645861619165e+04 
       5.332675295699e-03       1.672061613639e+04 
       5.457029922526e-03       1.697812082637e+04 
       5.581580078455e-03       1.723120505176e+04 
       5.706314240622e-03       1.747978783262e+04 
       5.831221793918e-03       1.772404132416e+04 
       5.956292948043e-03       1.796385826365e+04 
       6.081518663161e-03       1.819929863395e+04 
       6.206890583171e-03       1.843044664576e+04 
       6.332400975749e-03       1.865732410153e+04 
       6.458042678406e-03       1.887986205594e+04 
       6.583809049900e-03       1.909822307962e+04 
       6.709693926418e-03       1.931240101083e+04 
       6.835691582006e-03       1.952237822093e+04 
       6.961796692795e-03       1.972830842149e+04 
       7.088004304625e-03       1.993016507604e+04 
       7.214309803691e-03       2.012791046775e+04 
       7.340708889925e-03       2.032167525214e+04 
       7.467197552800e-03       2.051153564804e+04 
       7.593772049333e-03       2.069742976289e+04 
       7.720428884055e-03       2.087946810580e+04 
       7.847164790751e-03       2.105766145935e+04 
       7.973976715797e-03       2.123210434330e+04 
       8.100861802942e-03       2.140275964379e+04 
       8.227817379383e-03       2.156971516142e+04 
       8.354840943028e-03       2.173297176017e+04 
       8.481930150815e-03       2.189266199824e+04 
       8.609082808003e-03       2.204873558301e+04 
       8.736296858337e-03       2.220128643215e+04 
       8.863570375013e-03       2.235036280038e+04 
       8.990901552363e-03       2.249592600843e+04 
       9.118288698205e-03       2.263810379857e+04 
       9.245730226786e-03       2.277687489056e+04 
       9.373224652288e-03       2.291232620668e+04 
       9.500770582819e-03       2.304445509066e+04 
       9.628366714874e-03       2.317334444581e+04 
       9.756011828214e-03       2.329898080887e+04 
       9.883704781122e-03       2.342141881036e+04 
       1.001144450602e-02       2.354072399187e+04 
       1.013923000543e-02       2.365689806660e+04 
       1.026706034814e-02       2.377004309099e+04 
       1.039493466583e-02       2.388008847324e+04 
       1.052285214971e-02       2.398713066843e+04 
       1.065081204760e-02       2.409115800013e+04 
       1.077881366112e-02       2.419223765438e+04 
       1.090685634309e-02       2.429044629120e+04 
       1.103493949510e-02       2.438579635350e+04 
       1.116306256533e-02       2.447826814786e+04 
       1.129122504642e-02       2.456798820638e+04 
       1.141942647354e-02       2.465487324940e+04 
       1.154766642261e-02       2.473903698133e+04 
       1.167594450861e-02       2.482039692686e+04 
       1.180426038402e-02       2.489916915846e+04 
       1.193261373739e-02       2.497533528252e+04 
       1.206100429197e-02       2.504883010827e+04 
       1.218943180446e-02       2.511966709186e+04 
       1.231789606385e-02       2.518798944917e+04 
       1.244639689035e-02       2.525379829247e+04 
       1.257493413436e-02       2.531704455696e+04 
       1.270350767555e-02       2.537788370037e+04 
       1.283211742200e-02       2.543628738007e+04 
       1.296076330937e-02       2.549225018914e+04 
       1.308944530021e-02       2.554582196637e+04 
       1.321816338322e-02       2.559711002676e+04 
       1.334691757263e-02       2.564596619207e+04 
       1.347570790765e-02       2.569260992660e+04 
       1.360453445188e-02       2.573697714445e+04 
       1.373339729287e-02       2.577913911069e+04 
       1.386229654162e-02       2.581907296366e+04 
       1.399123233221e-02       2.585680814578e+04 
       1.412020482142e-02       2.589240627683e+04 
       1.424921418835e-02       2.592584425608e+04 
       1.437826063419e-02       2.595724280687e+04 
       1.450734438190e-02       2.598656307210e+04 
       1.463646567596e-02       2.601379966049e+04 
       1.476562478220e-02       2.603903443825e+04 
       1.489482198761e-02       2.606228204460e+04 
       1.502405760016e-02       2.608358458727e+04 
       1.515333194869e-02       2.610292691224e+04 
       1.528264538281e-02       2.612036149174e+04 
       1.541199827281e-02       2.613588060412e+04 
       1.554139100960e-02       2.614950473750e+04 
       1.567082400472e-02       2.616132509804e+04 
       1.580029769025e-02       2.617134357771e+04 
       1.592981251888e-02       2.617956663769e+04 
       1.605936896395e-02       2.618598065299e+04 
       1.618896751942e-02       2.619071074244e+04 
       1.631860870005e-02       2.619365788410e+04 
       1.644829304137e-02       2.619492465309e+04 
       1.657802109990e-02       2.619446911558e+04 
       1.670779345319e-02       2.619243609776e+04 
       1.683761070000e-02       2.618871530220e+04 
       1.696747346046e-02       2.618349273501e+04 
       1.709738237625e-02       2.617666051149e+04 
       1.722733811078e-02       2.616822705427e+04 
       1.735734134941e-02       2.615819719326e+04 
       1.748739279968e-02       2.614669487133e+04 
       1.761749319155e-02       2.613367813734e+04 
       1.774764327769e-02       2.611920962257e+04 
       1.787784383371e-02       2.610320538896e+04 
       1.800809565850e-02       2.608590700669e+04 
       1.813839957452e-02       2.606716018172e+04 
       1.826875642813e-02       2.604703084991e+04 
       1.839916708995e-02       2.602550533560e+04 
       1.852963245520e-02       2.600269396420e+04 
       1.866015344411e-02       2.597852768640e+04 
       1.879073100227e-02       2.595300964913e+04 
       1.892136610109e-02       2.592618870627e+04 
       1.905205973821e-02       2.589817433777e+04 
       1.918281293795e-02       2.586887565117e+04 
       1.931362675178e-02       2.583828355206e+04 
       1.944450225878e-02       2.580655802506e+04 
       1.957544056618e-02       2.577369417118e+04 
       1.970644280986e-02       2.573963946960e+04 
       1.983751015490e-02       2.570441016837e+04 
       1.996864379612e-02       2.566806242139e+04 
       2.009984495868e-02       2.563061309059e+04 
       2.023111489866e-02       2.559207399242e+04 
       2.036245490369e-02       2.555248881086e+04 
       2.049386629360e-02       2.551176204168e+04 
       2.062535042105e-02       2.547004677181e+04 
       2.075690867226e-02       2.542734745298e+04 
       2.088854246766e-02       2.538363782395e+04 
       2.102025326266e-02       2.533890109519e+04 
       2.115204254839e-02       2.529325603912e+04 
       2.128391185246e-02       2.524664324298e+04 
       2.141586273978e-02       2.519909271006e+04 
       2.154789681340e-02       2.515061813948e+04 
       2.168001571532e-02       2.510126952773e+04 
       2.181222112739e-02       2.505104513181e+04 
       2.194451477223e-02       2.499994461920e+04 
       2.207689841415e-02       2.494799983287e+04 
       2.220937386012e-02       2.489521987780e+04 
       2.234194296075e-02       2.484167225446e+04 
       2.247460761135e-02       2.478729416545e+04 
       2.260736975293e-02       2.473216136560e+04 
       2.274023137336e-02       2.467623452063e+04 
       2.287319450845e-02       2.461952497223e+04 
       2.300626124311e-02       2.456221034134e+04 
       2.313943371256e-02       2.450408794655e+04 
       2.327271410359e-02       2.444526023738e+04 
       2.340610465576e-02       2.438578804607e+04 
       2.353960766279e-02       2.432559483147e+04 
       2.367322547388e-02       2.426475491184e+04 
       2.380696049508e-02       2.420333481047e+04 
       2.394081519080e-02       2.414115932141e+04 
       2.407479208525e-02       2.407849536854e+04 
       2.420889376398e-02       2.401519624878e+04 
       2.434312287547e-02       2.395135336402e+04 
       2.447748213279e-02       2.388688493391e+04 
       2.461197431524e-02       2.382187377633e+04 
       2.474660227016e-02       2.375631005299e+04 
       2.488136891466e-02       2.369022986758e+04 
       2.501627723756e-02       2.362364567598e+04 
       2.515133030123e-02       2.355653921663e+04 
       2.528653124364e-02       2.348893520210e+04 
       2.542188328041e-02       2.342087928889e+04 
       2.555738970688e-02       2.335232973560e+04 
       2.569305390036e-02       2.328330184766e+04 
       2.582887932238e-02       2.321389560619e+04 
       2.596486952102e-02       2.314403784043e+04 
       2.610102813336e-02       2.307377540888e+04 
       2.623735888800e-02       2.300314136105e+04 
       2.637386560760e-02       2.293208579781e+04 
       2.651055221165e-02       2.286064954369e+04 
       2.664742271918e-02       2.278876550202e+04 
       2.678448125170e-02       2.271667273862e+04 
       2.692173203615e-02       2.264412949873e+04 
       2.705917940801e-02       2.257128064368e+04 
       2.719682781448e-02       2.249812032395e+04 
       2.733468181785e-02       2.242463850357e+04 
       2.747274609888e-02       2.235087765922e+04 
       2.761102546042e-02       2.227680834334e+04 
       2.774952483110e-02       2.220244796787e+04 
       2.788824926915e-02       2.212782537138e+04 
       2.802720396640e-02       2.205288470340e+04 
       2.816639425243e-02       2.197778679210e+04 
       2.830582559887e-02       2.190240821726e+04 
       2.844550362381e-02       2.182674555217e+04 
       2.858543409651e-02       2.175093099738e+04 
       2.872562294215e-02       2.167488146592e+04 
       2.886607624688e-02       2.159860117977e+04 
       2.900680026301e-02       2.152218342797e+04 
       2.914780141443e-02       2.144555088452e+04 
       2.928908630222e-02       2.136872982470e+04 
       2.943066171057e-02       2.129174839751e+04 
       2.957253461281e-02       2.121456099696e+04 
       2.971471217781e-02       2.113729495415e+04 
       2.985720177661e-02       2.105984325734e+04 
       3.000001098928e-02       2.098222652089e+04 
       3.014314761216e-02       2.090450944787e+04 
       3.028661966532e-02       2.082666789881e+04 
       3.043043540043e-02       2.074872560896e+04 
       3.057460330886e-02       2.067065406579e+04 
       3.071913213029e-02       2.059247472217e+04 
       3.086403086154e-02       2.051421268515e+04 
       3.100930876590e-02       2.043582276543e+04 
       3.115497538288e-02       2.035743038992e+04 
       3.130104053831e-02       2.027890296501e+04 
       3.144751435504e-02       2.020031204091e+04 
       3.159440726399e-02       2.012168922582e+04 
       3.174173001588e-02       2.004297998315e+04 
       3.188949369336e-02       1.996423103358e+04 
       3.203770972381e-02       1.988543473978e+04 
       3.218638989273e-02       1.980658472082e+04 
       3.233554635779e-02       1.972771634315e+04 
       3.248519166358e-02       1.964879210506e+04 
       3.263533875702e-02       1.956988378099e+04 
       3.278600100365e-02       1.949093774974e+04 
       3.293719220470e-02       1.941193776045e+04 
       3.308892661497e-02       1.933296652207e+04 
       3.324121896173e-02       1.925400099851e+04 
       3.339408446455e-02       1.917500259559e+04 
       3.354753885620e-02       1.909602170703e+04 
       3.370159840461e-02       1.901701061974e+04 
       3.385627993613e-02       1.893806045030e+04 
       3.401160085989e-02       1.885910112364e+04 
       3.416757919367e-02       1.878014413339e+04 
       3.432423359106e-02       1.870118881462e+04 
       3.448158337027e-02       1.862229377577e+04 
       3.463964854446e-02       1.854340790294e+04 
       3.479844985392e-02       1.846454767854e+04 
       3.495800880009e-02       1.838570301577e+04 
       3.511834768149e-02       1.830690446713e+04 
       3.527948963194e-02       1.822811609638e+04 
       3.544145866097e-02       1.814935920221e+04 
       3.560427969670e-02       1.807067050972e+04 
       3.576797863144e-02       1.799200272459e+04 
       3.593258237003e-02       1.791338906790e+04 
       3.609811888132e-02       1.783479183924e+04 
       3.626461725287e-02       1.775625138471e+04 
       3.643210774925e-02       1.767774436365e+04 
       3.660062187413e-02       1.759926942728e+04 
       3.677019243648e-02       1.752083721842e+04 
       3.694085362129e-02       1.744246160479e+04 
       3.711264106499e-02       1.736410302657e+04 
       3.728559193620e-02       1.728579835658e+04 
       3.745974502206e-02       1.720753157375e+04 
       3.763514082071e-02       1.712928641569e+04 
       3.781182164042e-02       1.705110417579e+04 
       3.798983170592e-02       1.697293952351e+04 
       3.816921727262e-02       1.689482015243e+04 
       3.835002674943e-02       1.681675056095e+04 
       3.853231083085e-02       1.673868100354e+04 
       3.871612263935e-02       1.666065481378e+04 
       3.890151787882e-02       1.658264078393e+04 
       3.908855500032e-02       1.650465722996e+04 
       3.927729538116e-02       1.642667478892e+04 
       3.946780351872e-02       1.634871793732e+04 
       3.966014724038e-02       1.627076644004e+04 
       3.985439793126e-02       1.619282860861e+04 
       4.005063078161e-02       1.611488534673e+04 
       4.024892505572e-02       1.603692042212e+04 
       4.044936438488e-02       1.595897600530e+04 
       4.065203708680e-02       1.588098038755e+04 
       4.085703651443e-02       1.580297707403e+04 
       4.106446143743e-02       1.572492586394e+04 
       4.127441646009e-02       1.564686059058e+04 
       4.148701247972e-02       1.556874747520e+04 
       4.170236719040e-02       1.549055446456e+04 
       4.192060563749e-02       1.541230933848e+04 
       4.214186082903e-02       1.533398142938e+04 
       4.236627441106e-02       1.525556630099e+04 
       4.259399741506e-02       1.517708915821e+04 
       4.282519108669e-02       1.509841494178e+04 
       4.306002780655e-02       1.501971523427e+04 
       4.329869211537e-02       1.494081021089e+04 
       4.354138185778e-02       1.486180531526e+04 
       4.378830946139e-02       1.478261316331e+04 
       4.403970337039e-02       1.470322821671e+04 
       4.429580965633e-02       1.462363316987e+04 
       4.455689383229e-02       1.454380954532e+04 
       4.482324290168e-02       1.446375325840e+04 
       4.509516767813e-02       1.438341969246e+04 
       4.537300541973e-02       1.430277060080e+04 
       4.565712282897e-02       1.422185433970e+04 
       4.594791947965e-02       1.414053495819e+04 
       4.624583174372e-02       1.405885980752e+04 
       4.655133730601e-02       1.397676197815e+04 
       4.686496037257e-02       1.389420817338e+04 
       4.718727770071e-02       1.381116650438e+04 
       4.751892560617e-02       1.372758877220e+04 
       4.786060813742e-02       1.364339351113e+04 
       4.821310664949e-02       1.355858823872e+04 
       4.857729106385e-02       1.347304853109e+04 
       4.895413316805e-02       1.338674046367e+04 
       4.934472239468e-02       1.329956579201e+04 
       4.975028462729e-02       1.321147024513e+04 
       5.017220471915e-02       1.312232291017e+04 
       5.061205358594e-02       1.303204491808e+04 
       5.107162095769e-02       1.294049136119e+04 
       5.155295516037e-02       1.284749167517e+04 
       5.205841165891e-02       1.275292989356e+04 
       5.259071254830e-02       1.265653496337e+04 
       5.315301974228e-02       1.255809900051e+04 
       5.374902528760e-02       1.245730626582e+04 
       5.438306300969e-02       1.235384508399e+04 
       5.506024650216e-02       1.224723037290e+04 
       5.578663912166e-02       1.213694336346e+04 
       5.656946171544e-02       1.202223828500e+04 
       5.741734239937e-02       1.190232631213e+04 
       5.834060804680e-02       1.177595373396e+04 
       5.935160590653e-02       1.164163744315e+04 
       6.046502007103e-02       1.149736245386e+04 
       6.169810212738e-02       1.134041683379e+04 
       6.307065677134e-02       1.116722746985e+04 
       6.460450616647e-02       1.097307419244e+04 
       6.632202886582e-02       1.075200986123e+04 
       6.824334458876e-02       1.049692010431e+04 
       7.038204395568e-02       1.020032775447e+04 
       7.274030241192e-02       9.855957378375e+03 
       7.530551842112e-02       9.461208435216e+03 
       7.805098197746e-02       9.019510987697e+03 
