# Matter power spectrum P(k) at redshift z=4
# for k=1.04437e-05 to 8.47306 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044373177903e-05       3.920729000334e+00 
       2.330863537068e-05       7.069051612296e+00 
       3.621868663117e-05       1.108845041259e+01 
       4.920853451248e-05       1.499245627494e+01 
       6.231339980672e-05       1.878886196290e+01 
       7.556938842102e-05       2.261352454269e+01 
       8.901381464780e-05       2.644706857459e+01 
       1.026855387201e-04       3.035133377174e+01 
       1.166253229746e-04       3.428325005395e+01 
       1.308762109776e-04       3.829276691401e+01 
       1.454839339779e-04       4.238437605794e+01 
       1.604973489896e-04       4.659132462728e+01 
       1.759689126343e-04       5.089725473931e+01 
       1.919551945090e-04       5.532391601679e+01 
       2.085174331949e-04       5.990425979987e+01 
       2.257221369641e-04       6.464433317649e+01 
       2.436417296000e-04       6.956379811543e+01 
       2.623552393076e-04       7.468309532435e+01 
       2.819490251928e-04       8.002840495113e+01 
       3.025175308975e-04       8.561974977490e+01 
       3.241640483247e-04       9.148301441556e+01 
       3.470014655728e-04       9.765111695181e+01 
       3.711529618447e-04       1.041502671754e+02 
       3.967525979545e-04       1.110138139819e+02 
       4.239457341305e-04       1.182803211225e+02 
       4.528891876214e-04       1.259863553519e+02 
       4.837510224735e-04       1.341700344063e+02 
       5.167098452353e-04       1.428756400200e+02 
       5.519534672995e-04       1.521445868633e+02 
       5.896767928497e-04       1.620222447726e+02 
       6.300788082150e-04       1.725498332954e+02 
       6.733585917181e-04       1.837702209785e+02 
       7.197103392683e-04       1.957236557355e+02 
       7.693175119673e-04       2.084417028416e+02 
       8.223463515743e-04       2.219542644391e+02 
       8.789391602777e-04       2.362794791129e+02 
       9.392078736640e-04       2.514274949445e+02 
       1.003228533781e-03       2.673963357906e+02 
       1.071037259171e-03       2.841734707569e+02 
       1.142628192868e-03       3.017332233821e+02 
       1.217953696304e-03       3.200393860888e+02 
       1.296926784502e-03       3.390452047894e+02 
       1.379425523210e-03       3.586949365088e+02 
       1.465298890741e-03       3.789252637256e+02 
       1.554373487338e-03       3.996723842327e+02 
       1.646460465116e-03       4.208683815760e+02 
       1.741362135232e-03       4.424443255786e+02 
       1.838877851048e-03       4.643335405556e+02 
       1.938808927383e-03       4.864713612925e+02 
       2.040962504488e-03       5.087966192349e+02 
       2.145154381719e-03       5.312535453225e+02 
       2.251210923456e-03       5.537893201955e+02 
       2.358970181254e-03       5.763563363550e+02 
       2.468282389267e-03       5.989118485010e+02 
       2.579009983657e-03       6.214175189517e+02 
       2.691027279241e-03       6.438391436128e+02 
       2.804219914343e-03       6.661464807415e+02 
       2.918484151863e-03       6.883129775281e+02 
       3.033726103536e-03       7.103154974069e+02 
       3.149860926338e-03       7.321341855744e+02 
       3.266812025326e-03       7.537498922330e+02 
       3.384510285802e-03       7.751481398877e+02 
       3.502893349042e-03       7.963166247922e+02 
       3.621904939533e-03       8.172428286116e+02 
       3.741494247176e-03       8.379173768369e+02 
       3.861615364856e-03       8.583312546224e+02 
       3.982226779769e-03       8.784801081146e+02 
       4.103290915627e-03       8.983531943476e+02 
       4.224773722193e-03       9.179518748971e+02 
       4.346644308240e-03       9.372669572645e+02 
       4.468874613990e-03       9.563003773679e+02 
       4.591439119167e-03       9.750461784591e+02 
       4.714314583002e-03       9.935018857380e+02 
       4.837479812791e-03       1.011668308883e+03 
       4.960915457882e-03       1.029543779107e+03 
       5.084603826267e-03       1.047129896584e+03 
       5.208528721218e-03       1.064426617790e+03 
       5.332675295699e-03       1.081433188542e+03 
       5.457029922526e-03       1.098149561236e+03 
