# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       1.044373177903e-05      -1.316116827192e-03      -9.876013136505e-04      -9.876013466026e-04      -1.316096444046e-03      -9.878799531560e-04      -9.876597363477e-04       4.717892543463e-01       4.717011863541e-01 
       2.330927604903e-05      -6.542424597491e-03      -4.919552916087e-03      -4.919553733494e-03      -6.541919678141e-03      -4.920713108826e-03      -4.919841096407e-03       4.717863080100e-01       4.716984959325e-01 
       3.621997333865e-05      -1.573913585284e-02      -1.187846978948e-02      -1.187847455244e-02      -1.573620098334e-02      -1.188029791876e-02      -1.187915349594e-02       4.717811243842e-01       4.716937638407e-01 
       4.921047778906e-05      -2.889971961342e-02      -2.192673123580e-02      -2.192674745284e-02      -2.888976245777e-02      -2.192751290194e-02      -2.192796111399e-02       4.717736470752e-01       4.716869353912e-01 
       6.231601551152e-05      -4.601919800569e-02      -3.516015887553e-02      -3.516020053182e-02      -4.599374119838e-02      -3.515593958564e-02      -3.516206334564e-02       4.717638174384e-01       4.716779546449e-01 
       7.557269794060e-05      -6.709138445201e-02      -5.170972897483e-02      -5.170981895924e-02      -6.703671628267e-02      -5.169346536822e-02      -5.171240610602e-02       4.717515443040e-01       4.716667341828e-01 
       8.901784518625e-05      -9.210512330871e-02      -7.174400189540e-02      -7.174417484754e-02      -9.200079657650e-02      -7.170455833370e-02      -7.174750985682e-02       4.717367206831e-01       4.716531717175e-01 
       1.026903236755e-04      -1.210393483454e-01      -9.547232869347e-02      -9.547263440978e-02      -1.208564919453e-01      -9.539326501543e-02      -9.547667431294e-02       4.717192070134e-01       4.716371332147e-01 
       1.166309024082e-04      -1.538567600574e-01      -1.231489257679e-01      -1.231494333470e-01      -1.535561539865e-01      -1.230070095967e-01      -1.231540506572e-01       4.716988378180e-01       4.716184595653e-01 
       1.308826321835e-04      -1.904958261808e-01      -1.550779265499e-01      -1.550787294771e-01      -1.900257154660e-01      -1.548412867779e-01      -1.550836901253e-01       4.716754184499e-01       4.715969631084e-01 
       1.454912521628e-04      -2.308608327498e-01      -1.916195487812e-01      -1.916207712617e-01      -2.301544156980e-01      -1.912453646566e-01      -1.916257074297e-01       4.716487183727e-01       4.715724208255e-01 
       1.605056280722e-04      -2.748095552999e-01      -2.331975507234e-01      -2.331993555221e-01      -2.737821661109e-01      -2.326291414447e-01      -2.332037320805e-01       4.716184694739e-01       4.715445723361e-01 
       1.759782261780e-04      -3.221382684214e-01      -2.803081827029e-01      -2.803107809967e-01      -3.206841925552e-01      -2.794713240245e-01      -2.803138539605e-01       4.715843630171e-01       4.715131165936e-01 
       1.919656267993e-04      -3.725636507994e-01      -3.335308802049e-01      -3.335345439685e-01      -3.705526075196e-01      -3.323291234545e-01      -3.335353090264e-01       4.715460428913e-01       4.714777046916e-01 
       2.085290804757e-04      -4.257012786333e-01      -3.935409941368e-01      -3.935460716876e-01      -4.229746555415e-01      -3.918496966422e-01      -3.935432004423e-01       4.715030998447e-01       4.714379335391e-01 
       2.257351088475e-04      -4.810405848936e-01      -4.611249039729e-01      -4.611318395380e-01      -4.774075585850e-01      -4.587835921409e-01      -4.611236005758e-01       4.714550664271e-01       4.713933400867e-01 
       2.436561506599e-04      -5.379165565398e-01      -5.371979103757e-01      -5.372072689985e-01      -5.331502336872e-01      -5.340004822259e-01      -5.371914302953e-01       4.714014086413e-01       4.713433920646e-01 
       2.623712508693e-04      -5.954785823465e-01      -6.228253671030e-01      -6.228378658963e-01      -5.893127505789e-01      -6.185074904409e-01      -6.228115744277e-01       4.713415181989e-01       4.712874790520e-01 
       2.819667873218e-04      -6.526584267062e-01      -7.192475632412e-01      -7.192641111605e-01      -6.447853321444e-01      -7.134704296717e-01      -7.192237447644e-01       4.712747037793e-01       4.712249022918e-01 
       3.025372245862e-04      -7.081397513801e-01      -8.279089154167e-01      -8.279306630174e-01      -6.982101331559e-01      -8.202382547571e-01      -8.278716488376e-01       4.712001801365e-01       4.711548620251e-01 
       3.241858778616e-04      -7.603347913152e-01      -9.504920681420e-01      -9.505204711587e-01      -7.479610862377e-01      -9.403709974990e-01      -9.504370639966e-01       4.711170597086e-01       4.710764470044e-01 
       3.470256610625e-04      -8.073749928861e-01      -1.088957486439e+00      -1.088994385782e+00      -7.921399192669e-01      -1.075671343735e+00      -1.088879399042e+00       4.710243392646e-01       4.709886187402e-01 
       3.711797818235e-04      -8.471268493597e-01      -1.245589097316e+00      -1.245636818684e+00      -8.286000390173e-01      -1.228219866850e+00      -1.245481299911e+00       4.709208891614e-01       4.708901981587e-01 
       3.967823320131e-04      -8.772488241529e-01      -1.423046392962e+00      -1.423107872523e+00      -8.550141304081e-01      -1.400413658574e+00      -1.422900714644e+00       4.708054420381e-01       4.707798516798e-01 
       4.239787054162e-04      -8.953076721653e-01      -1.624423175815e+00      -1.624502115837e+00      -8.690052485957e-01      -1.595007702635e+00      -1.624229595038e+00       4.706765803284e-01       4.706560764652e-01 
       4.529257550406e-04      -8.989767197430e-01      -1.853312740303e+00      -1.853413800974e+00      -8.683633534034e-01      -1.815157795959e+00      -1.853059031210e+00       4.705327262210e-01       4.705171890186e-01 
       4.837915823589e-04      -8.863358325094e-01      -2.113878675531e+00      -2.114007707288e+00      -8.513665510116e-01      -2.064463061545e+00      -2.113550000169e+00       4.703721307772e-01       4.703613146784e-01 
       5.167548321797e-04      -8.562845758392e-01      -2.410929637509e+00      -2.411093966016e+00      -8.172141237634e-01      -2.347005175438e+00      -2.410508080284e+00       4.701928646184e-01       4.701863814767e-01 
       5.520033538042e-04      -8.090488136081e-01      -2.749995360985e+00      -2.750204108106e+00      -7.665502953749e-01      -2.667380336221e+00      -2.749459368946e+00       4.699928115595e-01       4.699901210815e-01 
       5.897320873923e-04      -7.467268106601e-01      -3.137399710663e+00      -3.137664178970e+00      -7.020071432848e-01      -3.030718838595e+00      -3.136723427438e+00       4.697696614614e-01       4.697700742190e-01 
       6.301400513409e-04      -6.737339145895e-01      -3.580325146914e+00      -3.580659235847e+00      -6.286198764341e-01      -3.442686118352e+00      -3.579477552350e+00       4.695209078188e-01       4.695236069028e-01 
       6.734263498083e-04      -5.969326850594e-01      -4.086861269986e+00      -4.087281919415e+00      -5.538783743509e-01      -3.909458521886e+00      -4.085805027635e+00       4.692438456324e-01       4.692479323418e-01 
       7.197851957643e-04      -5.251565590995e-01      -4.666028930498e+00      -4.666556555030e+00      -4.871105722317e-01      -4.437667364930e+00      -4.664718777961e+00       4.689355771862e-01       4.689401432842e-01 
       7.694000560484e-04      -4.678479773526e-01      -5.327770748687e+00      -5.328429635816e+00      -4.379165440385e-01      -5.034306399756e+00      -5.326151246449e+00       4.685930311077e-01       4.685972541457e-01 
       8.224371645858e-04      -4.327129337722e-01      -6.082899453071e+00      -6.083718047760e+00      -4.135853178198e-01      -5.706600923517e+00      -6.080901880310e+00       4.682129981820e-01       4.682162471349e-01 
       8.790388005590e-04      -4.227317626609e-01      -6.942997631700e+00      -6.944008670116e+00      -4.159100433270e-01      -6.461841745801e+00      -6.940535955099e+00       4.677922013088e-01       4.677941291333e-01 
       9.393168607785e-04      -4.335246336063e-01      -7.920266462501e+00      -7.921506867551e+00      -4.385257499228e-01      -7.307193131364e+00      -7.917232488361e+00       4.673274095213e-01       4.673280014628e-01 
       1.003347333412e-03      -4.526839722032e-01      -9.027326382257e+00      -9.028836863922e+00      -4.665227343997e-01      -8.249489837518e+00      -9.023584562665e+00       4.668155983695e-01       4.668151465997e-01 
       1.071166270046e-03      -4.626925937727e-01      -1.027697892351e+01      -1.027880328290e+01      -4.800287823354e-01      -9.295042571087e+00      -1.027236165997e+01       4.662541455447e-01       4.662531378919e-01 
       1.142767736947e-03      -4.478190081805e-01      -1.168194494902e+01      -1.168412907867e+01      -4.620387883926e-01      -1.044947189561e+01      -1.167624931871e+01       4.656410328868e-01       4.656399762054e-01 
       1.218104013123e-03      -4.028072452700e-01      -1.325459837667e+01      -1.325718904826e+01      -4.079445818311e-01      -1.171758639388e+01      -1.324758489147e+01       4.649750008519e-01       4.649742371724e-01 
       1.297088030040e-03      -3.384418350483e-01      -1.500671589594e+01      -1.500975945435e+01      -3.313172955682e-01      -1.310331245751e+01      -1.499810900914e+01       4.642556097285e-01       4.642552037686e-01 
       1.379597773116e-03      -2.785492363626e-01      -1.694924045659e+01      -1.695278167806e+01      -2.601110264390e-01      -1.460965603171e+01      -1.693872962423e+01       4.634826251197e-01       4.634823832660e-01 
       1.465482147216e-03      -2.470039598255e-01      -1.909212374781e+01      -1.909620501247e+01      -2.220036911229e-01      -1.623872139949e+01      -1.907936331923e+01       4.626564502435e-01       4.626560690665e-01 
       1.554567688694e-03      -2.509527248722e-01      -2.144428920796e+01      -2.144894995541e+01      -2.259144901669e-01      -1.799179520989e+01      -2.142889619051e+01       4.617796484230e-01       4.617789137499e-01 
       1.646665496857e-03      -2.725327316970e-01      -2.401346870993e+01      -2.401874612541e+01      -2.530313780148e-01      -1.986928350122e+01      -2.399502060998e+01       4.608539491183e-01       4.608528661472e-01 
       1.741577841598e-03      -2.787524359406e-01      -2.680623345573e+01      -2.681216354484e+01      -2.675305219177e-01      -2.187073984320e+01      -2.678426814720e+01       4.598814018936e-01       4.598801731159e-01 
       1.839104046123e-03      -2.461540088167e-01      -2.982802639742e+01      -2.983464620363e+01      -2.429443372247e-01      -2.399484281091e+01      -2.980204698614e+01       4.588643708533e-01       4.588632400710e-01 
       1.939045405158e-03      -1.820290798182e-01      -3.308322641992e+01      -3.309057657297e+01      -1.845954692710e-01      -2.623936382991e+01      -3.305270962904e+01       4.578055045051e-01       4.578045830489e-01 
