# Matter power spectrum P(k) at redshift z=1
# for k=1.04437e-05 to 8.47306 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044373177903e-05       1.937150503195e+01 
       2.330863537068e-05       4.193113617713e+01 
       3.621868663117e-05       6.406970162694e+01 
       4.920853451248e-05       8.603579210256e+01 
       6.231339980672e-05       1.079693211587e+02 
       7.556938842102e-05       1.299742018152e+02 
       8.901381464780e-05       1.521386851314e+02 
       1.026855387201e-04       1.745436646064e+02 
       1.166253229746e-04       1.972669107527e+02 
       1.308762109776e-04       2.203856219041e+02 
       1.454839339779e-04       2.439781801949e+02 
       1.604973489896e-04       2.681255072101e+02 
       1.759689126343e-04       2.929122126063e+02 
       1.919551945090e-04       3.184276359873e+02 
       2.085174331949e-04       3.447668420847e+02 
       2.257221369641e-04       3.720315975501e+02 
       2.436417296000e-04       4.003313527668e+02 
       2.623552393076e-04       4.297842265406e+02 
       2.819490251928e-04       4.605179931096e+02 
       3.025175308975e-04       4.926710544038e+02 
       3.241640483247e-04       5.263933639821e+02 
       3.470014655728e-04       5.618472635124e+02 
       3.711529618447e-04       5.992081644049e+02 
       3.967525979545e-04       6.386649881863e+02 
       4.239457341305e-04       6.804202575816e+02 
       4.528891876214e-04       7.246896961280e+02 
       4.837510224735e-04       7.717011739653e+02 
       5.167098452353e-04       8.216928074053e+02 
       5.519534672995e-04       8.749100244651e+02 
       5.896767928497e-04       9.316013956487e+02 
       6.300788082150e-04       9.920131065521e+02 
       6.733585917181e-04       1.056381997941e+03 
       7.197103392683e-04       1.124927261337e+03 
       7.693175119673e-04       1.197841074396e+03 
       8.223463515743e-04       1.275278620728e+03 
       8.789391602777e-04       1.357348262754e+03 
       9.392078736640e-04       1.444102690253e+03 
       1.003228533781e-03       1.535532034721e+03 
       1.071037259171e-03       1.631559806488e+03 
       1.142628192868e-03       1.732042258926e+03 
       1.217953696304e-03       1.836771456782e+03 
       1.296926784502e-03       1.945481806989e+03 
       1.379425523210e-03       2.057854078059e+03 
       1.465298890741e-03       2.173532084070e+03 
       1.554373487338e-03       2.292149557837e+03 
       1.646460465116e-03       2.413317987823e+03 
       1.741362135232e-03       2.536647165002e+03 
       1.838877851048e-03       2.661754595856e+03 
       1.938808927383e-03       2.788272928292e+03 
       2.040962504488e-03       2.915855317375e+03 
       2.145154381719e-03       3.044178932943e+03 
       2.251210923456e-03       3.172946884438e+03 
       2.358970181254e-03       3.301888905838e+03 
       2.468282389267e-03       3.430760770085e+03 
       2.579009983657e-03       3.559343532436e+03 
       2.691027279241e-03       3.687442703843e+03 
       2.804219914343e-03       3.814885080545e+03 
       2.918484151863e-03       3.941518839889e+03 
       3.033726103536e-03       4.067210529733e+03 
       3.149860926338e-03       4.191843308198e+03 
       3.266812025326e-03       4.315315889591e+03 
       3.384510285802e-03       4.437540449944e+03 
       3.502893349042e-03       4.558441282654e+03 
       3.621904939533e-03       4.677953129018e+03 
       3.741494247176e-03       4.796021481717e+03 
       3.861615364856e-03       4.912598195536e+03 
       3.982226779769e-03       5.027645350596e+03 
       4.103290915627e-03       5.141128657849e+03 
       4.224773722193e-03       5.253021805505e+03 
       4.346644308240e-03       5.363303283915e+03 
       4.468874613990e-03       5.471955898455e+03 
       4.591439119167e-03       5.578966433735e+03 
       4.714314583002e-03       5.684325114525e+03 
       4.837479812791e-03       5.788026861308e+03 
       4.960915457882e-03       5.890065865883e+03 
       5.084603826267e-03       5.990443579036e+03 
       5.208528721218e-03       6.089159605085e+03 
       5.332675295699e-03       6.186217467667e+03 
       5.457029922526e-03       6.281622948815e+03 
       5.581580078455e-03       6.375380111231e+03 
       5.706314240622e-03       6.467499530794e+03 
       5.831221793918e-03       6.557989112126e+03 
       5.956292948043e-03       6.646857270546e+03 
       6.081518663161e-03       6.734113382445e+03 
       6.206890583171e-03       6.819779543104e+03 
       6.332400975749e-03       6.903851838238e+03 
       6.458042678406e-03       6.986347508045e+03 
       6.583809049900e-03       7.067284805320e+03 
       6.709693926418e-03       7.146665844408e+03 
       6.835691582006e-03       7.224514871138e+03 
       6.961796692795e-03       7.300839069089e+03 
       7.088004304625e-03       7.375657667811e+03 
       7.214309803691e-03       7.448980359603e+03 
       7.340708889925e-03       7.520822193524e+03 
       7.467197552800e-03       7.591201769497e+03 
       7.593772049333e-03       7.660129735362e+03 
       7.720428884055e-03       7.727620784972e+03 
       7.847164790751e-03       7.793693856782e+03 
       7.973976715797e-03       7.858362813374e+03 
       8.100861802942e-03       7.921641873889e+03 
       8.227817379383e-03       7.983546275783e+03 
