# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494041559344e-10       7.311904287549e-15       4.828519340019e-13       0.000000000000e+00       8.739407862315e-09       4.832928053804e-10      -2.513904673463e-12 
    3       1.408576833043e-10       1.237389743008e-14       6.075723552720e-13       0.000000000000e+00       5.369948245302e-09       3.444679843962e-10      -2.211495001077e-12 
    4       1.324249241791e-10       1.443730386665e-14       6.285762200430e-13       0.000000000000e+00       3.736280383560e-09       2.620027841094e-10      -1.763530897961e-12 
    5       1.257457766497e-10       1.334036316483e-14       5.885717434220e-13       0.000000000000e+00       2.788898998190e-09       2.077394958910e-10      -1.308206164630e-12 
    6       1.208249430191e-10       1.028223327208e-14       5.176953913491e-13       0.000000000000e+00       2.177973418058e-09       1.695720078244e-10      -8.930798993366e-13 
    7       1.173865185062e-10       6.806316930049e-15       4.364947358432e-13       0.000000000000e+00       1.756311624051e-09       1.414628980206e-10      -5.423590747126e-13 
    8       1.150777717595e-10       4.017764506067e-15       3.573925801609e-13       0.000000000000e+00       1.450252588732e-09       1.199955625522e-10      -2.668634090826e-13 
    9       1.136667297880e-10       2.322910641976e-15       2.877188530530e-13       0.000000000000e+00       1.219733183930e-09       1.031163220076e-10      -6.820971592903e-14 
   10       1.129459010168e-10       1.566297054900e-15       2.314999943645e-13       0.000000000000e+00       1.041604757592e-09       8.960573148018e-11       5.898870791766e-14 
   11       1.127648931216e-10       1.344355152437e-15       1.904051851108e-13       0.000000000000e+00       8.760381541678e-10       7.896437617945e-11       1.243910755819e-13 
   12       1.130451999224e-10       1.287224741189e-15       1.640917327244e-13       0.000000000000e+00       7.651681136308e-10       6.988562000299e-11       1.428491455618e-13 
   13       1.136334379171e-10       1.198571479427e-15       1.507297928725e-13       0.000000000000e+00       6.741992600572e-10       6.241153642065e-11       1.280390682309e-13 
