# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494046404168e-10       7.312153471050e-15       4.828519288722e-13       2.491834691949e-19       8.739407862315e-09       4.832928053804e-10      -2.513904673463e-12 
    3       1.408586501092e-10       1.237439602627e-14       6.075723324550e-13       4.985958847110e-19       5.369948245302e-09       3.444679843962e-10      -2.211495001077e-12 
    4       1.324265307748e-10       1.443813536202e-14       6.285761546479e-13       8.314938453286e-19       3.736280383560e-09       2.620027841094e-10      -1.763530897961e-12 
    5       1.257481777735e-10       1.334161133053e-14       5.885715949158e-13       1.248160476391e-18       2.788898998190e-09       2.077394958910e-10      -1.308206164630e-12 
    6       1.208282901182e-10       1.028398221763e-14       5.176951004354e-13       1.748931371396e-18       2.177973418058e-09       1.695720078244e-10      -8.930798993366e-13 
    7       1.173909592548e-10       6.808651146286e-15       4.364942218115e-13       2.334183463882e-18       1.756311624051e-09       1.414628980206e-10      -5.423590747126e-13 
    8       1.150834496626e-10       4.020768895991e-15       3.573917387562e-13       3.004322696882e-18       1.450252588732e-09       1.199955625522e-10      -2.668634090826e-13 
    9       1.136737838763e-10       2.326670538535e-15       2.877175548943e-13       3.759770977680e-18       1.219733183930e-09       1.031163220076e-10      -6.820971592903e-14 
   10       1.129544656380e-10       1.570898225244e-15       2.314980839161e-13       4.600952932466e-18       1.041604757592e-09       8.960573148018e-11       5.898870791766e-14 
   11       1.127750978280e-10       1.349883788563e-15       1.904024801878e-13       5.528282981330e-18       8.760381541678e-10       7.896437617945e-11       1.243910755819e-13 
   12       1.130571694514e-10       1.293767437361e-15       1.640880244951e-13       6.542153238825e-18       7.651681136308e-10       6.988562000299e-11       1.428491455618e-13 
   13       1.136472922597e-10       1.206215197191e-15       1.507248463002e-13       7.642922709489e-18       6.741992600572e-10       6.241153642065e-11       1.280390682309e-13 
