# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       1.044373177903e-05      -7.997802069182e-04      -6.000091108769e-04      -6.000091344756e-04      -7.997713986010e-04      -6.007213434338e-04      -6.000818319779e-04       5.735119487926e-01       5.732938287373e-01 
       2.330927604903e-05      -3.979361766933e-03      -2.988835428786e-03      -2.988836014207e-03      -3.979143398085e-03      -2.992206513372e-03      -2.989195669174e-03       5.735086406073e-01       5.732908667981e-01 
       3.621997333865e-05      -9.588731168096e-03      -7.216675482351e-03      -7.216678893895e-03      -9.587460089373e-03      -7.224059898466e-03      -7.217536734466e-03       5.735028139030e-01       5.732856518209e-01 
       4.921047778906e-05      -1.764791333958e-02      -1.332143497181e-02      -1.332144658923e-02      -1.764359210018e-02      -1.333305387242e-02      -1.332300199229e-02       5.734943873774e-01       5.732781061741e-01 
       6.231601551152e-05      -2.818919478391e-02      -2.136134108313e-02      -2.136137093033e-02      -2.817811706783e-02      -2.137572527311e-02      -2.136380585042e-02       5.734832996497e-01       5.732681740508e-01 
       7.557269794060e-05      -4.125656336768e-02      -3.141598335959e-02      -3.141604785007e-02      -4.123269350175e-02      -3.142933207647e-02      -3.141952027534e-02       5.734694472305e-01       5.732557598044e-01 
       8.901784518625e-05      -5.690494985925e-02      -4.358778981357e-02      -4.358791380198e-02      -5.685921026643e-02      -4.359321056204e-02      -4.359254984522e-02       5.734526978442e-01       5.732407411376e-01 
       1.026903236755e-04      -7.519919156652e-02      -5.800397707853e-02      -5.800419632104e-02      -7.511863100198e-02      -5.799056476994e-02      -5.801008047867e-02       5.734328914330e-01       5.732229698981e-01 
       1.166309024082e-04      -9.621261822330e-02      -7.481902643168e-02      -7.481939058514e-02      -9.607942455450e-02      -7.477073045650e-02      -7.482655359637e-02       5.734098313897e-01       5.732022638162e-01 
       1.308826321835e-04      -1.200251170219e-01      -9.421775434892e-02      -9.421833066123e-02      -1.198154410093e-01      -9.411196921784e-02      -9.422673426357e-02       5.733832835939e-01       5.731784051819e-01 
