# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494142691408e-10       7.333653434127e-15       4.829543165792e-13       0.000000000000e+00       8.648271517226e-09       4.835357222921e-10      -2.520588111975e-12 
    3       1.408553802746e-10       1.242293397851e-14       6.087089542383e-13       0.000000000000e+00       5.365978710325e-09       3.445506753952e-10      -2.216159578586e-12 
    4       1.324202019304e-10       1.449733456432e-14       6.298110665199e-13       0.000000000000e+00       3.733474240559e-09       2.619839692791e-10      -1.767362156115e-12 
    5       1.257382211861e-10       1.339666274950e-14       5.897502350580e-13       0.000000000000e+00       2.784726721245e-09       2.077063981273e-10      -1.311176260112e-12 
    6       1.208133353329e-10       1.032612620719e-14       5.187527279429e-13       0.000000000000e+00       2.172255773166e-09       1.695172242587e-10      -8.951092534077e-13 
    7       1.173721110668e-10       6.835129383752e-15       4.373622365349e-13       0.000000000000e+00       1.750411174832e-09       1.414048862110e-10      -5.436260874850e-13 
    8       1.150612281372e-10       4.034170302163e-15       3.580467802353e-13       0.000000000000e+00       1.446068943622e-09       1.199613176063e-10      -2.675605386574e-13 
    9       1.136485307108e-10       2.331601567805e-15       2.881640303038e-13       0.000000000000e+00       1.217858515169e-09       1.031154589215e-10      -6.849618607013e-14 
   10       1.129268825072e-10       1.571412251711e-15       2.317653878178e-13       0.000000000000e+00       1.041182050016e-09       8.963002089932e-11       5.898731500831e-14 
   11       1.127443885307e-10       1.348334875734e-15       1.905425357680e-13       0.000000000000e+00       8.757689375004e-10       7.897629937975e-11       1.245585107862e-13 
