# Matter power spectrum P(k) at redshift z=4
# for k=1.04437e-05 to 8.47306 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.044373177903e-05       3.368197015392e+00 
       2.330863537068e-05       7.290731390410e+00 
       3.621868663117e-05       1.114006516032e+01 
       4.920853451248e-05       1.495942849756e+01 
       6.231339980672e-05       1.877315559070e+01 
       7.556938842102e-05       2.259932163960e+01 
       8.901381464780e-05       2.645327914279e+01 
       1.026855387201e-04       3.034910207977e+01 
       1.166253229746e-04       3.430032274102e+01 
       1.308762109776e-04       3.832037515868e+01 
       1.454839339779e-04       4.242290080624e+01 
       1.604973489896e-04       4.662198474844e+01 
       1.759689126343e-04       5.093235561670e+01 
       1.919551945090e-04       5.536956721764e+01 
       2.085174331949e-04       5.995017212725e+01 
       2.257221369641e-04       6.469189228163e+01 
       2.436417296000e-04       6.961378996828e+01 
       2.623552393076e-04       7.473644039874e+01 
       2.819490251928e-04       8.008210376888e+01 
       3.025175308975e-04       8.567489535779e+01 
       3.241640483247e-04       9.154094750634e+01 
       3.470014655728e-04       9.770855566623e+01 
       3.711529618447e-04       1.042082982391e+02 
       3.967525979545e-04       1.110731136757e+02 
       4.239457341305e-04       1.183383167189e+02 
       4.528891876214e-04       1.260415283968e+02 
       4.837510224735e-04       1.342224909136e+02 
       5.167098452353e-04       1.429227337127e+02 
       5.519534672995e-04       1.521850575969e+02 
       5.896767928497e-04       1.620528003672e+02 
       6.300788082150e-04       1.725688623038e+02 
       6.733585917181e-04       1.837744778571e+02 
       7.197103392683e-04       1.957077489271e+02 
       7.693175119673e-04       2.084019894672e+02 
       8.223463515743e-04       2.218839621986e+02 
       8.789391602777e-04       2.361721444714e+02 
       9.392078736640e-04       2.512751728809e+02 
       1.003228533781e-03       2.671906463130e+02 
       1.071037259171e-03       2.839044428383e+02 
       1.142628192868e-03       3.013906601473e+02 
       1.217953696304e-03       3.196122258211e+02 
       1.296926784502e-03       3.385221269544e+02 
       1.379425523210e-03       3.580642074667e+02 
       1.465298890741e-03       3.781761474608e+02 
       1.554373487338e-03       3.987941801840e+02 
       1.646460465116e-03       4.198509818127e+02 
       1.741362135232e-03       4.412791932665e+02 
       1.838877851048e-03       4.630129813412e+02 
       1.938808927383e-03       4.849892288995e+02 
       2.040962504488e-03       5.071483743290e+02 
       2.145154381719e-03       5.294349428061e+02 
       2.251210923456e-03       5.517978287904e+02 
       2.358970181254e-03       5.741903895000e+02 
       2.468282389267e-03       5.965703410206e+02 
       2.579009983657e-03       6.188996449212e+02 
       2.691027279241e-03       6.411443704828e+02 
       2.804219914343e-03       6.632742428803e+02 
       2.918484151863e-03       6.852626165403e+02 
       3.033726103536e-03       7.070860563969e+02 
       3.149860926338e-03       7.287240810630e+02 
       3.266812025326e-03       7.501589507501e+02 
       3.384510285802e-03       7.713753433358e+02 
       3.502893349042e-03       7.923601184402e+02 
       3.621904939533e-03       8.131020140443e+02 
       3.741494247176e-03       8.335916825147e+02 
       3.861615364856e-03       8.538209269136e+02 
       3.982226779769e-03       8.737832951949e+02 
       4.103290915627e-03       8.934730474603e+02 
       4.224773722193e-03       9.128857756463e+02 
       4.346644308240e-03       9.320178936622e+02 
       4.468874613990e-03       9.508665370710e+02 
       4.591439119167e-03       9.694295731341e+02 
       4.714314583002e-03       9.877053918371e+02 
       4.837479812791e-03       1.005693149680e+03 
       4.960915457882e-03       1.023391963837e+03 
       5.084603826267e-03       1.040802102692e+03 
       5.208528721218e-03       1.057923554621e+03 
       5.332675295699e-03       1.074756954592e+03 
       5.457029922526e-03       1.091303342217e+03 
       5.581580078455e-03       1.107563569197e+03 
       5.706314240622e-03       1.123539425414e+03 
       5.831221793918e-03       1.139232417961e+03 
       5.956292948043e-03       1.154644042858e+03 
       6.081518663161e-03       1.169776128560e+03 
       6.206890583171e-03       1.184631494679e+03 
