Running CLASS version v2.4.2
Computing background
 -> age = 13.795359 Gyr
 -> conformal age = 14165.045412 Mpc
Computing thermodynamics with Y_He=0.2477
Warning: if you have DM annihilation and you use recfast with option recfast_Heswitch >= 3, then the expression for CfHe_t and dy[1] becomes undefined at late times, producing nan's. This is however masked by reionization if you are not in reio_none mode.1.000000e+00 9.999500e+03 
1.000000e+00 9.999000e+03 
1.000000e+00 9.998500e+03 
1.000000e+00 9.998000e+03 
1.000000e+00 9.997500e+03 
1.000000e+00 9.997000e+03 
1.000000e+00 9.996500e+03 
1.000000e+00 9.996000e+03 
1.000000e+00 9.995500e+03 
1.000000e+00 9.995000e+03 
1.000000e+00 9.994500e+03 
1.000000e+00 9.994000e+03 
1.000000e+00 9.993500e+03 
1.000000e+00 9.993000e+03 
1.000000e+00 9.992500e+03 
1.000000e+00 9.992000e+03 
1.000000e+00 9.991500e+03 
1.000000e+00 9.991000e+03 
1.000000e+00 9.990500e+03 
1.000000e+00 9.990000e+03 
1.000000e+00 9.989500e+03 
1.000000e+00 9.989000e+03 
1.000000e+00 9.988500e+03 
1.000000e+00 9.988000e+03 
1.000000e+00 9.987500e+03 
1.000000e+00 9.987000e+03 
1.000000e+00 9.986500e+03 
1.000000e+00 9.986000e+03 
1.000000e+00 9.985500e+03 
1.000000e+00 9.985000e+03 
1.000000e+00 9.984500e+03 
1.000000e+00 9.984000e+03 
1.000000e+00 9.983500e+03 
1.000000e+00 9.983000e+03 
1.000000e+00 9.982500e+03 
1.000000e+00 9.982000e+03 
1.000000e+00 9.981500e+03 
1.000000e+00 9.981000e+03 
1.000000e+00 9.980500e+03 
1.000000e+00 9.980000e+03 
1.000000e+00 9.979500e+03 
1.000000e+00 9.979000e+03 
1.000000e+00 9.978500e+03 
1.000000e+00 9.978000e+03 
1.000000e+00 9.977500e+03 
1.000000e+00 9.977000e+03 
1.000000e+00 9.976500e+03 
1.000000e+00 9.976000e+03 
1.000000e+00 9.975500e+03 
1.000000e+00 9.975000e+03 
1.000000e+00 9.974500e+03 
1.000000e+00 9.974000e+03 
1.000000e+00 9.973500e+03 
1.000000e+00 9.973000e+03 
1.000000e+00 9.972500e+03 
1.000000e+00 9.972000e+03 
1.000000e+00 9.971500e+03 
1.000000e+00 9.971000e+03 
1.000000e+00 9.970500e+03 
1.000000e+00 9.970000e+03 
1.000000e+00 9.969500e+03 
1.000000e+00 9.969000e+03 
1.000000e+00 9.968500e+03 
1.000000e+00 9.968000e+03 
1.000000e+00 9.967500e+03 
1.000000e+00 9.967000e+03 
1.000000e+00 9.966500e+03 
1.000000e+00 9.966000e+03 
1.000000e+00 9.965500e+03 
1.000000e+00 9.965000e+03 
1.000000e+00 9.964500e+03 
1.000000e+00 9.964000e+03 
1.000000e+00 9.963500e+03 
1.000000e+00 9.963000e+03 
1.000000e+00 9.962500e+03 
1.000000e+00 9.962000e+03 
1.000000e+00 9.961500e+03 
1.000000e+00 9.961000e+03 
1.000000e+00 9.960500e+03 
1.000000e+00 9.960000e+03 
1.000000e+00 9.959500e+03 
1.000000e+00 9.959000e+03 
1.000000e+00 9.958500e+03 
1.000000e+00 9.958000e+03 
1.000000e+00 9.957500e+03 
1.000000e+00 9.957000e+03 
1.000000e+00 9.956500e+03 
1.000000e+00 9.956000e+03 
1.000000e+00 9.955500e+03 
1.000000e+00 9.955000e+03 
1.000000e+00 9.954500e+03 
1.000000e+00 9.954000e+03 
1.000000e+00 9.953500e+03 
1.000000e+00 9.953000e+03 
1.000000e+00 9.952500e+03 
1.000000e+00 9.952000e+03 
1.000000e+00 9.951500e+03 
1.000000e+00 9.951000e+03 
1.000000e+00 9.950500e+03 
1.000000e+00 9.950000e+03 
1.000000e+00 9.949500e+03 
1.000000e+00 9.949000e+03 
1.000000e+00 9.948500e+03 
1.000000e+00 9.948000e+03 
1.000000e+00 9.947500e+03 
1.000000e+00 9.947000e+03 
1.000000e+00 9.946500e+03 
1.000000e+00 9.946000e+03 
1.000000e+00 9.945500e+03 
1.000000e+00 9.945000e+03 
1.000000e+00 9.944500e+03 
1.000000e+00 9.944000e+03 
1.000000e+00 9.943500e+03 
1.000000e+00 9.943000e+03 
1.000000e+00 9.942500e+03 
1.000000e+00 9.942000e+03 
1.000000e+00 9.941500e+03 
1.000000e+00 9.941000e+03 
1.000000e+00 9.940500e+03 
1.000000e+00 9.940000e+03 
1.000000e+00 9.939500e+03 
1.000000e+00 9.939000e+03 
1.000000e+00 9.938500e+03 
1.000000e+00 9.938000e+03 
1.000000e+00 9.937500e+03 
1.000000e+00 9.937000e+03 
1.000000e+00 9.936500e+03 
1.000000e+00 9.936000e+03 
1.000000e+00 9.935500e+03 
1.000000e+00 9.935000e+03 
1.000000e+00 9.934500e+03 
1.000000e+00 9.934000e+03 
1.000000e+00 9.933500e+03 
1.000000e+00 9.933000e+03 
1.000000e+00 9.932500e+03 
1.000000e+00 9.932000e+03 
1.000000e+00 9.931500e+03 
1.000000e+00 9.931000e+03 
1.000000e+00 9.930500e+03 
1.000000e+00 9.930000e+03 
1.000000e+00 9.929500e+03 
1.000000e+00 9.929000e+03 
1.000000e+00 9.928500e+03 
1.000000e+00 9.928000e+03 
1.000000e+00 9.927500e+03 
1.000000e+00 9.927000e+03 
1.000000e+00 9.926500e+03 
1.000000e+00 9.926000e+03 
1.000000e+00 9.925500e+03 
1.000000e+00 9.925000e+03 
1.000000e+00 9.924500e+03 
1.000000e+00 9.924000e+03 
1.000000e+00 9.923500e+03 
1.000000e+00 9.923000e+03 
1.000000e+00 9.922500e+03 
1.000000e+00 9.922000e+03 
1.000000e+00 9.921500e+03 
1.000000e+00 9.921000e+03 
1.000000e+00 9.920500e+03 
1.000000e+00 9.920000e+03 
1.000000e+00 9.919500e+03 
1.000000e+00 9.919000e+03 
1.000000e+00 9.918500e+03 
1.000000e+00 9.918000e+03 
1.000000e+00 9.917500e+03 
1.000000e+00 9.917000e+03 
1.000000e+00 9.916500e+03 
1.000000e+00 9.916000e+03 
1.000000e+00 9.915500e+03 
1.000000e+00 9.915000e+03 
1.000000e+00 9.914500e+03 
1.000000e+00 9.914000e+03 
1.000000e+00 9.913500e+03 
1.000000e+00 9.913000e+03 
1.000000e+00 9.912500e+03 
1.000000e+00 9.912000e+03 
1.000000e+00 9.911500e+03 
1.000000e+00 9.911000e+03 
1.000000e+00 9.910500e+03 
1.000000e+00 9.910000e+03 
1.000000e+00 9.909500e+03 
1.000000e+00 9.909000e+03 
1.000000e+00 9.908500e+03 
1.000000e+00 9.908000e+03 
1.000000e+00 9.907500e+03 
1.000000e+00 9.907000e+03 
1.000000e+00 9.906500e+03 
1.000000e+00 9.906000e+03 
1.000000e+00 9.905500e+03 
1.000000e+00 9.905000e+03 
1.000000e+00 9.904500e+03 
1.000000e+00 9.904000e+03 
1.000000e+00 9.903500e+03 
1.000000e+00 9.903000e+03 
1.000000e+00 9.902500e+03 
1.000000e+00 9.902000e+03 
1.000000e+00 9.901500e+03 
1.000000e+00 9.901000e+03 
1.000000e+00 9.900500e+03 
1.000000e+00 9.900000e+03 
1.000000e+00 9.899500e+03 
1.000000e+00 9.899000e+03 
1.000000e+00 9.898500e+03 
1.000000e+00 9.898000e+03 
1.000000e+00 9.897500e+03 
1.000000e+00 9.897000e+03 
1.000000e+00 9.896500e+03 
1.000000e+00 9.896000e+03 
1.000000e+00 9.895500e+03 
1.000000e+00 9.895000e+03 
1.000000e+00 9.894500e+03 
1.000000e+00 9.894000e+03 
1.000000e+00 9.893500e+03 
1.000000e+00 9.893000e+03 
1.000000e+00 9.892500e+03 
1.000000e+00 9.892000e+03 
1.000000e+00 9.891500e+03 
1.000000e+00 9.891000e+03 
1.000000e+00 9.890500e+03 
1.000000e+00 9.890000e+03 
1.000000e+00 9.889500e+03 
1.000000e+00 9.889000e+03 
1.000000e+00 9.888500e+03 
1.000000e+00 9.888000e+03 
1.000000e+00 9.887500e+03 
1.000000e+00 9.887000e+03 
1.000000e+00 9.886500e+03 
1.000000e+00 9.886000e+03 
1.000000e+00 9.885500e+03 
1.000000e+00 9.885000e+03 
1.000000e+00 9.884500e+03 
1.000000e+00 9.884000e+03 
1.000000e+00 9.883500e+03 
1.000000e+00 9.883000e+03 
1.000000e+00 9.882500e+03 
1.000000e+00 9.882000e+03 
1.000000e+00 9.881500e+03 
1.000000e+00 9.881000e+03 
1.000000e+00 9.880500e+03 
1.000000e+00 9.880000e+03 
1.000000e+00 9.879500e+03 
1.000000e+00 9.879000e+03 
1.000000e+00 9.878500e+03 
1.000000e+00 9.878000e+03 
1.000000e+00 9.877500e+03 
1.000000e+00 9.877000e+03 
1.000000e+00 9.876500e+03 
1.000000e+00 9.876000e+03 
1.000000e+00 9.875500e+03 
1.000000e+00 9.875000e+03 
1.000000e+00 9.874500e+03 
1.000000e+00 9.874000e+03 
1.000000e+00 9.873500e+03 
1.000000e+00 9.873000e+03 
1.000000e+00 9.872500e+03 
1.000000e+00 9.872000e+03 
1.000000e+00 9.871500e+03 
1.000000e+00 9.871000e+03 
1.000000e+00 9.870500e+03 
1.000000e+00 9.870000e+03 
1.000000e+00 9.869500e+03 
1.000000e+00 9.869000e+03 
1.000000e+00 9.868500e+03 
1.000000e+00 9.868000e+03 
1.000000e+00 9.867500e+03 
1.000000e+00 9.867000e+03 
1.000000e+00 9.866500e+03 
1.000000e+00 9.866000e+03 
1.000000e+00 9.865500e+03 
1.000000e+00 9.865000e+03 
1.000000e+00 9.864500e+03 
1.000000e+00 9.864000e+03 
1.000000e+00 9.863500e+03 
1.000000e+00 9.863000e+03 
1.000000e+00 9.862500e+03 
1.000000e+00 9.862000e+03 
1.000000e+00 9.861500e+03 
1.000000e+00 9.861000e+03 
1.000000e+00 9.860500e+03 
1.000000e+00 9.860000e+03 
1.000000e+00 9.859500e+03 
1.000000e+00 9.859000e+03 
1.000000e+00 9.858500e+03 
1.000000e+00 9.858000e+03 
1.000000e+00 9.857500e+03 
1.000000e+00 9.857000e+03 
1.000000e+00 9.856500e+03 
1.000000e+00 9.856000e+03 
1.000000e+00 9.855500e+03 
1.000000e+00 9.855000e+03 
1.000000e+00 9.854500e+03 
1.000000e+00 9.854000e+03 
1.000000e+00 9.853500e+03 
1.000000e+00 9.853000e+03 
1.000000e+00 9.852500e+03 
