You cannot work in the 'on the spot' approximation with dark matter halos formation. Condition 'has_on_the_spot' will be set to 'no' automatically.
Running CLASS version v2.4.3
Computing background
 -> age = 13.795359 Gyr
 -> conformal age = 14165.045412 Mpc
Computing thermodynamics with Y_He=0.2477
 -> calling HyRec version Nov2011,
-6.573280e+00 8.252748e+02 
-6.573191e+00 8.252046e+02 
-6.573102e+00 8.251345e+02 
-6.573012e+00 8.250643e+02 
-6.572923e+00 8.249942e+02 
-6.572834e+00 8.249241e+02 
-6.572745e+00 8.248540e+02 
-6.572656e+00 8.247839e+02 
-6.572566e+00 8.247138e+02 
-6.572477e+00 8.246437e+02 
-6.572388e+00 8.245736e+02 
-6.572299e+00 8.245035e+02 
-6.572209e+00 8.244334e+02 
-6.572120e+00 8.243633e+02 
-6.572031e+00 8.242932e+02 
-6.571942e+00 8.242232e+02 
-6.571853e+00 8.241531e+02 
-6.571763e+00 8.240831e+02 
-6.571674e+00 8.240130e+02 
-6.571585e+00 8.239430e+02 
-6.571496e+00 8.238729e+02 
-6.571406e+00 8.238029e+02 
-6.571317e+00 8.237329e+02 
-6.571228e+00 8.236629e+02 
-6.571139e+00 8.235929e+02 
-6.571049e+00 8.235229e+02 
-6.570960e+00 8.234529e+02 
-6.570871e+00 8.233829e+02 
-6.570782e+00 8.233129e+02 
-6.570693e+00 8.232429e+02 
-6.570603e+00 8.231729e+02 
-6.570514e+00 8.231030e+02 
-6.570425e+00 8.230330e+02 
-6.570336e+00 8.229630e+02 
-6.570246e+00 8.228931e+02 
-6.570157e+00 8.228231e+02 
-6.570068e+00 8.227532e+02 
-6.569979e+00 8.226833e+02 
-6.569889e+00 8.226133e+02 
-6.569800e+00 8.225434e+02 
-6.569711e+00 8.224735e+02 
-6.569622e+00 8.224036e+02 
-6.569533e+00 8.223337e+02 
-6.569443e+00 8.222638e+02 
-6.569354e+00 8.221939e+02 
-6.569265e+00 8.221240e+02 
-6.569176e+00 8.220541e+02 
-6.569086e+00 8.219843e+02 
-6.568997e+00 8.219144e+02 
-6.568908e+00 8.218445e+02 
-6.568819e+00 8.217747e+02 
-6.568729e+00 8.217048e+02 
-6.568640e+00 8.216350e+02 
-6.568551e+00 8.215651e+02 
-6.568462e+00 8.214953e+02 
-6.568373e+00 8.214255e+02 
-6.568283e+00 8.213557e+02 
-6.568194e+00 8.212858e+02 
-6.568105e+00 8.212160e+02 
-6.568016e+00 8.211462e+02 
-6.567926e+00 8.210764e+02 
-6.567837e+00 8.210066e+02 
-6.567748e+00 8.209368e+02 
-6.567659e+00 8.208671e+02 
-6.567570e+00 8.207973e+02 
-6.567480e+00 8.207275e+02 
-6.567391e+00 8.206578e+02 
-6.567302e+00 8.205880e+02 
-6.567213e+00 8.205183e+02 
-6.567123e+00 8.204485e+02 
-6.567034e+00 8.203788e+02 
-6.566945e+00 8.203090e+02 
-6.566856e+00 8.202393e+02 
-6.566766e+00 8.201696e+02 
-6.566677e+00 8.200999e+02 
-6.566588e+00 8.200302e+02 
-6.566499e+00 8.199605e+02 
-6.566410e+00 8.198908e+02 
-6.566320e+00 8.198211e+02 
-6.566231e+00 8.197514e+02 
-6.566142e+00 8.196817e+02 
-6.566053e+00 8.196121e+02 
-6.565963e+00 8.195424e+02 
-6.565874e+00 8.194727e+02 
-6.565785e+00 8.194031e+02 
-6.565696e+00 8.193334e+02 
-6.565606e+00 8.192638e+02 
-6.565517e+00 8.191941e+02 
-6.565428e+00 8.191245e+02 
-6.565339e+00 8.190549e+02 
-6.565250e+00 8.189853e+02 
-6.565160e+00 8.189156e+02 
-6.565071e+00 8.188460e+02 
-6.564982e+00 8.187764e+02 
-6.564893e+00 8.187068e+02 
-6.564803e+00 8.186373e+02 
-6.564714e+00 8.185677e+02 
-6.564625e+00 8.184981e+02 
-6.564536e+00 8.184285e+02 
-6.564446e+00 8.183590e+02 
-6.564357e+00 8.182894e+02 
-6.564268e+00 8.182198e+02 
-6.564179e+00 8.181503e+02 
-6.564090e+00 8.180807e+02 
-6.564000e+00 8.180112e+02 
-6.563911e+00 8.179417e+02 
-6.563822e+00 8.178722e+02 
-6.563733e+00 8.178026e+02 
-6.563643e+00 8.177331e+02 
-6.563554e+00 8.176636e+02 
-6.563465e+00 8.175941e+02 
-6.563376e+00 8.175246e+02 
-6.563286e+00 8.174551e+02 
-6.563197e+00 8.173856e+02 
-6.563108e+00 8.173162e+02 
-6.563019e+00 8.172467e+02 
-6.562930e+00 8.171772e+02 
-6.562840e+00 8.171078e+02 
-6.562751e+00 8.170383e+02 
-6.562662e+00 8.169689e+02 
-6.562573e+00 8.168994e+02 
-6.562483e+00 8.168300e+02 
-6.562394e+00 8.167605e+02 
-6.562305e+00 8.166911e+02 
-6.562216e+00 8.166217e+02 
-6.562127e+00 8.165523e+02 
-6.562037e+00 8.164829e+02 
-6.561948e+00 8.164135e+02 
-6.561859e+00 8.163441e+02 
-6.561770e+00 8.162747e+02 
-6.561680e+00 8.162053e+02 
-6.561591e+00 8.161359e+02 
-6.561502e+00 8.160666e+02 
-6.561413e+00 8.159972e+02 
-6.561323e+00 8.159278e+02 
-6.561234e+00 8.158585e+02 
-6.561145e+00 8.157891e+02 
-6.561056e+00 8.157198e+02 
-6.560967e+00 8.156505e+02 
-6.560877e+00 8.155811e+02 
-6.560788e+00 8.155118e+02 
-6.560699e+00 8.154425e+02 
-6.560610e+00 8.153732e+02 
-6.560520e+00 8.153039e+02 
-6.560431e+00 8.152346e+02 
-6.560342e+00 8.151653e+02 
-6.560253e+00 8.150960e+02 
-6.560163e+00 8.150267e+02 
-6.560074e+00 8.149574e+02 
-6.559985e+00 8.148881e+02 
-6.559896e+00 8.148189e+02 
-6.559807e+00 8.147496e+02 
-6.559717e+00 8.146804e+02 
-6.559628e+00 8.146111e+02 
-6.559539e+00 8.145419e+02 
-6.559450e+00 8.144726e+02 
-6.559360e+00 8.144034e+02 
-6.559271e+00 8.143342e+02 
-6.559182e+00 8.142650e+02 
-6.559093e+00 8.141957e+02 
-6.559003e+00 8.141265e+02 
-6.558914e+00 8.140573e+02 
-6.558825e+00 8.139881e+02 
-6.558736e+00 8.139190e+02 
-6.558647e+00 8.138498e+02 
-6.558557e+00 8.137806e+02 
-6.558468e+00 8.137114e+02 
-6.558379e+00 8.136423e+02 
-6.558290e+00 8.135731e+02 
-6.558200e+00 8.135039e+02 
-6.558111e+00 8.134348e+02 
-6.558022e+00 8.133657e+02 
-6.557933e+00 8.132965e+02 
-6.557844e+00 8.132274e+02 
-6.557754e+00 8.131583e+02 
-6.557665e+00 8.130891e+02 
-6.557576e+00 8.130200e+02 
-6.557487e+00 8.129509e+02 
-6.557397e+00 8.128818e+02 
-6.557308e+00 8.128127e+02 
-6.557219e+00 8.127436e+02 
-6.557130e+00 8.126745e+02 
-6.557040e+00 8.126055e+02 
-6.556951e+00 8.125364e+02 
-6.556862e+00 8.124673e+02 
-6.556773e+00 8.123983e+02 
-6.556684e+00 8.123292e+02 
-6.556594e+00 8.122602e+02 
-6.556505e+00 8.121911e+02 
-6.556416e+00 8.121221e+02 
-6.556327e+00 8.120531e+02 
-6.556237e+00 8.119840e+02 
-6.556148e+00 8.119150e+02 
-6.556059e+00 8.118460e+02 
-6.555970e+00 8.117770e+02 
-6.555880e+00 8.117080e+02 
-6.555791e+00 8.116390e+02 
-6.555702e+00 8.115700e+02 
-6.555613e+00 8.115010e+02 
-6.555524e+00 8.114320e+02 
-6.555434e+00 8.113631e+02 
-6.555345e+00 8.112941e+02 
-6.555256e+00 8.112251e+02 
-6.555167e+00 8.111562e+02 
-6.555077e+00 8.110872e+02 
-6.554988e+00 8.110183e+02 
-6.554899e+00 8.109494e+02 
-6.554810e+00 8.108804e+02 
-6.554720e+00 8.108115e+02 
-6.554631e+00 8.107426e+02 
-6.554542e+00 8.106737e+02 
-6.554453e+00 8.106048e+02 
-6.554364e+00 8.105359e+02 
-6.554274e+00 8.104670e+02 
-6.554185e+00 8.103981e+02 
-6.554096e+00 8.103292e+02 
-6.554007e+00 8.102603e+02 
-6.553917e+00 8.101914e+02 
-6.553828e+00 8.101226e+02 
-6.553739e+00 8.100537e+02 
-6.553650e+00 8.099848e+02 
-6.553561e+00 8.099160e+02 
-6.553471e+00 8.098472e+02 
-6.553382e+00 8.097783e+02 
-6.553293e+00 8.097095e+02 
-6.553204e+00 8.096407e+02 
-6.553114e+00 8.095718e+02 
-6.553025e+00 8.095030e+02 
-6.552936e+00 8.094342e+02 
-6.552847e+00 8.093654e+02 
-6.552757e+00 8.092966e+02 
-6.552668e+00 8.092278e+02 
-6.552579e+00 8.091590e+02 
-6.552490e+00 8.090903e+02 
-6.552401e+00 8.090215e+02 
-6.552311e+00 8.089527e+02 
-6.552222e+00 8.088840e+02 
-6.552133e+00 8.088152e+02 
-6.552044e+00 8.087464e+02 
-6.551954e+00 8.086777e+02 
-6.551865e+00 8.086090e+02 
-6.551776e+00 8.085402e+02 
-6.551687e+00 8.084715e+02 
-6.551597e+00 8.084028e+02 
-6.551508e+00 8.083341e+02 
-6.551419e+00 8.082654e+02 
-6.551330e+00 8.081967e+02 
-6.551241e+00 8.081280e+02 
-6.551151e+00 8.080593e+02 
-6.551062e+00 8.079906e+02 
-6.550973e+00 8.079219e+02 
-6.550884e+00 8.078532e+02 
-6.550794e+00 8.077846e+02 
-6.550705e+00 8.077159e+02 
-6.550616e+00 8.076472e+02 
-6.550527e+00 8.075786e+02 
-6.550437e+00 8.075099e+02 
-6.550348e+00 8.074413e+02 
-6.550259e+00 8.073727e+02 
-6.550170e+00 8.073040e+02 
-6.550081e+00 8.072354e+02 
-6.549991e+00 8.071668e+02 
-6.549902e+00 8.070982e+02 
-6.549813e+00 8.070296e+02 
-6.549724e+00 8.069610e+02 
-6.549634e+00 8.068924e+02 
-6.549545e+00 8.068238e+02 
-6.549456e+00 8.067552e+02 
-6.549367e+00 8.066866e+02 
-6.549277e+00 8.066181e+02 
-6.549188e+00 8.065495e+02 
-6.549099e+00 8.064810e+02 
-6.549010e+00 8.064124e+02 
-6.548921e+00 8.063439e+02 
-6.548831e+00 8.062753e+02 
-6.548742e+00 8.062068e+02 
-6.548653e+00 8.061382e+02 
-6.548564e+00 8.060697e+02 
-6.548474e+00 8.060012e+02 
-6.548385e+00 8.059327e+02 
